Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,tag
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,14.344262295081966,10041.765573600002,10373.077533600004,426.82762640000004,0.4176557360000152,31.641341909029286,1.244483959811049,11.739839693042866,1.2564756003626165,0.10600519192340774,0.18547397425302684,0.21749618676143093,0.8222986637128924,-0.012788424993992015,-5.72186564896473,-2.687495065968062,51 days 12:00:00,20 days 06:00:00,11,54.54545454545454,4.610000000000005,-2.7651448763250857,0.04076650542104154,1 days 16:00:00,1 days 11:00:00,1.081213182268819,0.06210241249326419,0.060210444774476304,0.026203714838308967,TriplePatternStrategy_9p,BNBUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,23.497267759562842,10417.119553600003,10698.832513600004,349.2636464,4.171195536000032,31.641341909029286,12.892680771893584,14.789279910776612,13.023853301583665,0.871758520338707,1.729077367813385,2.269327397122831,3.657157520462118,0.016245771655823048,-5.6812784211919265,-2.051233000199058,50 days 20:00:00,14 days 06:00:00,9,55.55555555555556,4.610000000000005,-2.7651448763250857,0.4701723502540833,4 days 12:00:00,3 days 01:00:00,1.6650140826547646,0.4994160703219736,0.5561125332013755,0.21406104460965575,TriplePatternStrategy_26p,BNBUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,1.5027322404371584,10222.0291,10239.000099999997,38.5209,2.2202909999999974,31.641341909029286,6.73360761049695,2.885564715044894,6.8002326888243925,2.3335493310508504,inf,9.321178137664536,2.032883177246625,0.005922878469951781,-0.7223987688088629,-0.3092710028218352,54 days 04:00:00,18 days 10:00:00,1,100.0,2.337160721898545,2.337160721898545,2.3371607218985346,1 days 16:00:00,1 days 16:00:00,,2.337160721898545,,,ButterflyStrategy_9p,BNBUSDT_4h
2025-03-31 20:00:00,2025-07-31 16:00:00,121 days 20:00:00,3.278688524590164,10435.89052,10435.89052,38.94948,4.358905200000009,31.641341909029286,13.49741163435516,4.576172045736316,13.63510004826274,2.949498292340405,inf,14.184046152792034,3.937791237250224,0.013308979244954647,-0.9515910685117368,-0.5547115335040198,1 days,0 days 16:00:00,1,100.0,4.588345412344282,4.588345412344282,4.588345412344275,3 days 20:00:00,3 days 20:00:00,,4.588345412344282,,,ButterflyStrategy_26p,BNBUSDT_4h
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,28.14622093498928,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,TriplePatternStrategy_9p,BNBUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,28.14622093498928,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,TriplePatternStrategy_26p,BNBUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,28.14622093498928,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_9p,BNBUSDT_1d
2025-04-01,2025-07-31,121 days,0.0,10000.0,10000.0,,0.0,28.14622093498928,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,ButterflyStrategy_26p,BNBUSDT_1d
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,13.630880579010856,10945.725613199987,11030.310333999989,1411.3137867999997,9.457256131999875,44.46772503827867,36.905708007759145,29.803548568654094,31.054551331308478,1.238299121419882,2.80641444066479,5.114479482872362,9.847613411248163,-0.008778440518651695,-7.215926494837044,-2.419128358844078,70 days 08:00:00,11 days 10:00:00,34,55.88235294117647,4.609999999999993,-2.4103658673310293,0.26857047084998253,0 days 10:00:00,0 days 09:00:00,1.4779161542812593,0.28582030255880697,0.8313351152759137,0.1715155261532158,TriplePatternStrategy_9p,SOLUSDT_1h
2025-03-31 17:00:00,2025-07-31 16:00:00,121 days 23:00:00,25.5729794933655,9981.878981199985,10940.702272799987,1338.3964188,-0.1812101880001501,44.46772503827867,-0.6285091270903043,29.430472989858625,-0.5413518113876692,-0.021355726335315125,-0.031835108353740295,-0.05740198534797143,0.396378582075525,-0.012988943544525285,-10.94925764815059,-4.341215375013084,69 days 13:00:00,12 days 08:00:00,33,42.42424242424242,4.616159570337783,-2.4109859193437986,-0.005993094398870635,1 days 03:00:00,0 days 19:00:00,1.0255838811227398,0.03084950821922338,-0.011295732450499562,-0.0018887436360328635,TriplePatternStrategy_26p,SOLUSDT_1h
